date,q,swt,v,lh,sh,light,strat,t,rh,sp,cc,pev,sw,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp
2021-10-25,7.40026961926966,19.003805,84622571.971294,-42.537107,-7.423105,339.838039,0.154665,13.0095833333333,74.262371,969.783612916667,63.0416666666667,0.0879223693375,4.34051304166667,13.9366666666667,14.4325,16.77625025,19.1866666666667,0.266583333333333,0.245,0.127083333333333,0.223375,0
2021-10-26,6.9744580591044,18.864005,84698571.971295,-66.255684,-10.184261,362.039733,0.153989,12.7179166916667,80.091765375,970.578595416667,46.5833333333333,0.0817235824125,4.8580967875,13.7137499583333,14.4325,16.6241665833333,19.1533333333333,0.256291666666667,0.244125,0.128791666666667,0.223,0
2021-10-27,6.96466782407418,18.691685,84813571.971295,-74.27737,-13.47363,362.308862,0.153631,12.1825,80.257207875,970.204982083333,50,0.0817355014958333,5.47752996666667,12.8387499583333,13.7720833333333,16.4470832083333,19.1158333333333,0.246875,0.242125,0.129,0.223,0
2021-10-28,7.41606712962958,18.631627,84928571.971295,-17.019521,-3.126875,305.227477,0.152983,11.7762499583333,79.6882201666667,966.0507825,18.5833333333333,0.0752712458532917,4.7173122375,12.1783333333333,13.2845833333333,16.2325000833333,19.07,0.242333333333333,0.24,0.129,0.223,1.1
2021-10-29,7.41732754629624,18.221474,85042571.971295,-220.477934,-40.751655,231.010564,0.152275,13.13875,89.6549327916667,961.274115416667,93.2916666666667,0.0586854255416667,9.36387777083333,13.3074999583333,13.60125,16.0449997916667,19.0241666666667,0.268,0.238083333333333,0.128791666666667,0.223,7
2021-10-30,7.40862214479292,18.058766,85233571.971295,-112.635767,-19.2159,153.391002,0.151639,14.490833375,94.5832915416667,956.778574166667,98.375,0.0294974575833333,9.92888504583333,14.3595832083333,14.5908333333333,15.97,18.9825,0.323583333333333,0.241125,0.129,0.223,4.9
2021-10-31,8.30549537037042,18.002682,85386571.971295,-62.032253,-8.494106,275.169801,0.150416,15.6325,87.3257974166667,957.387949583333,96.7916666666667,0.0650055349583333,6.356853425,15.1116667083333,14.88875,15.945,18.9366666666667,0.318583333333333,0.250416666666667,0.129,0.223,0.6
2021-11-01,7.86920138888878,17.924038,85501571.971295,-32.057691,-5.849739,139.881823,0.150049,14.70958325,80.24506675,955.55366125,54.6666666666667,0.0684698884083333,10.5493759916667,15.3408332916667,15.605416625,15.9866666666667,18.8929166666667,0.325791666666667,0.25475,0.129,0.223,4.4
2021-11-02,7.43088310185196,17.552145,85617571.971295,-202.272216,-36.090319,235.856232,0.149895,10.0970833458333,73.5253175833333,956.3094525,50.875,0.0783398074375,8.6041111,12.12625,13.92625,15.97625,18.8491666666667,0.293958333333333,0.255208333333333,0.129,0.223,0
2021-11-03,7.44028356481479,17.347452,85771571.971295,-82.612494,-18.626841,195.730679,0.149383,8.457500025,83.98738725,951.653635,68.75,0.0431364283166667,5.48096330416667,10.3595833583333,12.4866666666667,15.78875,18.8095833333333,0.292958333333333,0.255166666666667,0.1295,0.223,0.5
2021-11-04,7.88115393518511,17.173849,85886571.971295,-52.439318,-12.427286,262.466558,0.148461,6.757500025,83.32517475,959.539278333333,81.3333333333333,0.0596249690125,3.28963159583333,8.65958337083333,10.4158333333333,15.42,18.7575,0.291625,0.256,0.131,0.223,0.3
2021-11-05,7.43099064395401,17.004725,86040571.971295,-58.814723,-13.284865,329.225511,0.147428,6.6345833625,68.3588375833333,965.936075833333,53.2916666666667,0.0665561030125,4.58675322083333,7.69916667916667,9.62416666666667,14.9470833333333,18.7054166666667,0.284541666666667,0.256,0.131,0.223,0.3
2021-11-06,7.8849196025295,16.872609,86117571.971295,-46.436358,-9.18636,346.493994,0.146097,6.25958337791667,61.417690625,968.84757625,1.91666666666667,0.0774646819666667,6.0316710375,6.976250025,8.83041669166667,14.4804166666667,18.645,0.271375,0.255416666666667,0.132375,0.223,0
2021-11-07,6.99558217592591,16.520846,86233571.971294,-180.983654,-30.009484,339.229341,0.144871,7.04083335583333,59.1584232083333,964.850743333333,11.2083333333333,0.07242668062875,4.3464399,6.9825,8.28458335833333,13.9866666666667,18.5804166666667,0.260125,0.252833333333333,0.132,0.223,0
2021-11-08,7.4478912037037,16.381821,86272571.971294,-68.361337,-11.931979,317.26443,0.143616,10.0950000625,64.008986125,962.078835833333,18.5416666666667,0.0780520090208333,5.65238218333333,9.38041674166667,9.62208333333333,13.6075,18.5033333333333,0.243083333333333,0.245958333333333,0.130583333333333,0.223,0
2021-11-09,6.55891686091687,16.171259,86387571.971294,-99.832072,-18.026536,232.520195,0.14263,9.33250006666667,66.505534125,965.458862083333,53.0416666666667,0.0794077536458333,9.95066852083333,9.1262500125,9.76375,13.3825,18.4408333333333,0.232916666666667,0.241916666666667,0.129,0.223,0
2021-11-10,7.44040393518511,15.947204,86542571.971294,-103.896871,-21.491358,48.346978,0.141457,11.9595833333333,80.4163485416667,964.992627083333,96.7083333333333,0.0403822030708333,13.1955482833333,10.8408333333333,10.9575,13.245,18.3533333333333,0.289625,0.244291666666667,0.1305,0.223,7.1
2021-11-11,7.90875925925927,15.658319,87008571.971294,-138.334057,-29.840921,47.441319,0.131752,11.9095833333333,82.5463938333333,965.311973333333,93.5,0.0419548004020833,15.0743957083333,10.8345833333333,11.0095833333333,13.18875,18.2825,0.341583333333333,0.253875,0.131,0.223,4.9
2021-11-12,11.5125011574073,15.564648,87630571.971294,-23.160199,-3.628908,163.16991,0.130988,11.98875,82.9765304583333,963.663190416667,78.5,0.0402877214775,7.14307691666667,11.3575,11.6845833333333,13.17,18.1991666666667,0.356,0.275708333333333,0.131,0.223,2.4
2021-11-13,19.7346964516965,15.573514,87669571.971294,-0.242091,-0.033977,248.191296,0.130988,11.8408333333333,79.6565885,964.872437916667,70,0.0592137419291667,4.9205935875,11.5658333458333,11.8929166666667,13.2220833333333,18.1283333333333,0.332625,0.282958333333333,0.1315,0.223,0.1
2021-11-14,13.0652834343435,15.50846,88060571.971294,-6.131071,-1.396268,193.31611,0.130988,9.78875,90.8146095416667,962.607379166667,61.6666666666667,0.045752818,4.79305739166667,10.77,11.72625,13.27,18.0470833333333,0.315708333333333,0.284,0.132666666666667,0.223,0.1
2021-11-15,10.6638206018519,15.351525,88373571.971294,-44.220691,-10.060745,181.039416,0.130988,8.62000000833333,85.6744971666667,962.42056125,76.9166666666667,0.0456164302083333,5.08406189166667,9.2200000125,10.4970833333333,13.1991666666667,17.97625,0.334041666666667,0.287166666666667,0.133583333333333,0.223,1.1
2021-11-16,9.7655027034334,15.192455,88648571.971294,-42.047668,-9.502003,120.426256,0.130988,8.64708337083333,85.9324306666667,964.514113333333,67.375,0.0311679495833333,4.1840786625,8.30750005,9.7575,13.0325,17.8991666666667,0.357833333333333,0.298458333333333,0.135,0.223,0.3
2021-11-17,9.32975022902749,15.006377,88884571.971294,-51.461126,-12.048784,254.443023,0.130988,8.13666670833333,87.0071325,967.035842916667,58.2916666666667,0.0521895823333333,3.15958268625,7.87208337083333,8.9825,12.7845833333333,17.8283333333333,0.3515,0.311666666666667,0.136916666666667,0.223,0
2021-11-18,8.8859161104568,14.877976,89041571.971294,-37.112767,-8.595547,233.813498,0.130988,7.01583336666667,83.231039,973.261419583333,40.4166666666667,0.0559172338541667,3.5932014125,8.08875005,9.21375,12.57,17.7470833333333,0.329125,0.309708333333333,0.13775,0.223,0
2021-11-19,8.00012268518514,14.733346,88962571.971294,-48.916999,-11.445506,266.345417,0.130988,7.98458335833333,84.5371347083333,975.539611666667,29.0833333333333,0.053605201875,3.60479192083333,7.64916672916667,8.73041667916667,12.3533333333333,17.67,0.31475,0.304666666666667,0.138,0.223,0
2021-11-20,7.96291550925933,14.525654,89143571.971294,-100.759216,-23.846598,215.986579,0.130988,7.93250003333333,88.1638994166667,970.78756125,94.2916666666667,0.0409330785708333,3.06326254375,7.56583337083333,8.44291670416667,12.1220833333333,17.5866666666667,0.30475,0.299333333333333,0.1385,0.223,0
2021-11-21,8.24952546296292,14.447216,89277571.971294,-37.055823,-7.884472,183.49406,0.130988,9.59708339583333,86.6968183333333,960.8854525,88.7916666666667,0.04251542825,3.76736383333333,9.28458334583333,9.37416666666667,11.9554166666667,17.4991666666667,0.305,0.296041666666667,0.139125,0.223,0
2021-11-22,7.70922106481483,14.304398,89475571.971294,-49.765335,-12.553532,100.376069,0.130988,8.28041670416667,88.40657775,959.041909166667,98.6666666666667,0.0310752794166667,5.14810534166667,8.65958335833333,9.47625,11.88875,17.4158333333333,0.331583333333333,0.292208333333333,0.138708333333333,0.223,5.3
2021-11-23,8.45243402777772,14.032046,89791571.971295,-123.768076,-33.59064,96.051823,0.130988,8.345000025,88.066674,962.391227916667,99.75,0.0196169618,12.3691945166667,7.96166670416667,8.62625,11.745,17.3304166666667,0.375125,0.298083333333333,0.139,0.223,21.8
2021-11-24,9.82187737207174,13.802773,91387571.971294,-80.788344,-23.165142,68.20058,0.130988,8.12208337083333,91.5596445833333,958.433077083333,95.0416666666667,0.022120022,9.17527233333333,8.13458339583333,8.97625,11.6116666666667,17.245,0.412958333333333,0.368208333333333,0.141875,0.223,11.8
2021-11-25,27.2139097222222,13.652669,93675571.971294,-24.463912,-6.608303,187.783851,0.130988,7.28041669166667,82.2868479583333,952.83813125,86.875,0.040815457125,7.81242735833333,7.90958338333333,8.86583333333333,11.5095833333333,17.1574996666667,0.385125,0.366666666666667,0.146458333333333,0.223,3
2021-11-26,32.708162037037,13.413031,94904571.971294,-88.768126,-23.594727,218.527163,0.130511,5.7283333875,86.0263683333333,952.347647083333,67.7916666666667,0.0473182718166667,4.61495504166667,7.06166669166667,8.101250025,11.3429166666667,17.0658331666667,0.36525,0.356833333333333,0.1505,0.223,0
2021-11-27,20.4773767582914,13.036572,95140571.971294,-160.356771,-46.224399,189.989063,0.129883,2.37000005625,83.103823,947.131069583333,46.4166666666667,0.0344465901666667,6.9788172125,4.05541674166667,6.44916669166667,11.0866666666667,16.9762505416667,0.357041666666667,0.348375,0.153916666666667,0.223,0.2
2021-11-28,14.1127731481482,12.564673,95697571.971294,-235.414075,-66.144886,188.471419,0.148659,2.01166673625,68.49905825,951.694747916667,58.6666666666667,0.0451719348958333,7.37303889166667,3.047083375,5.1012500625,10.6658333333333,16.880416125,0.34875,0.341625,0.156666666666667,0.223,0.3
2021-11-29,12.7224467592593,12.365782,95224571.971294,-97.10581,-26.297804,207.129978,0.148659,2.66375006666667,68.4630794166667,958.868531666667,76.625,0.0458334969125,6.390215725,3.35750005416667,4.71583334583333,10.2054166666667,16.7783335,0.33775,0.334125,0.158833333333333,0.223,0
2021-11-30,10.6402399664473,12.173099,94300571.971294,-99.365984,-28.404241,189.946295,0.148659,3.86583340958333,86.6857855416667,970.526182916667,50.75,0.0349403235208333,4.8701994875,3.55958337916667,4.820000075,9.79291666666667,16.672083375,0.325875,0.326625,0.1605,0.223,0
2021-12-01,9.20351722802937,11.94115,94133571.971295,-122.32816,-34.291803,174.230826,0.187095,3.47000006808333,94.02184775,962.57773375,97.7083333333333,0.0309734292791667,3.74363271166667,2.28875005416667,4.1220833875,9.44291666666667,16.5616664583333,0.319208333333333,0.320875,0.162208333333333,0.223,1.1
