date,t,rh,sp,cc,pev,sw,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp
2018-04-25,18.0324999583333,75.2052097083333,966.138734583333,41.5833333333333,0.163439799208333,5.44413188666667,16.96375,15.515833375,11.92,8.0387500125,0.276958333333333,0.312458333333333,0.348541666666667,0.22,0.8
2018-04-26,17.2720832916667,80.8221954166667,964.136846666667,82.625,0.1572956465,4.5720033375,17.27625,15.87,12.2991666666667,8.13041666666667,0.275375,0.308333333333333,0.347666666666667,0.220833333333333,0.7
2018-04-27,16.2658333333333,81.7863253333333,960.790945833333,62.0833333333333,0.162653084708333,4.55012312916667,17.2637500833333,16.1408332916667,12.65125,8.2325,0.269041666666667,0.302041666666667,0.345583333333333,0.221,1.5
2018-04-28,15.4054166666667,81.6468215,958.886853333333,68.5833333333333,0.144148066708333,6.33497247416667,16.5929166666667,15.8741665416667,12.9366666666667,8.33666666666667,0.281583333333333,0.29875,0.343541666666667,0.221,0.4
2018-04-29,11.6158333333333,85.2533611666667,954.422399583333,62.7916666666667,0.0862651255833333,10.8178486166667,14.0991667083333,14.7908333333333,13.07,8.45125,0.317041666666667,0.297541666666667,0.341708333333333,0.221166666666667,10.2
2018-04-30,10.1137500125,64.4591799583333,959.17051,42.4583333333333,0.158161355625,10.9762685916667,11.92,12.4158333333333,12.8658333333333,8.55541666666667,0.331541666666667,0.303625,0.339125,0.222,0
2018-05-01,8.01375005,81.1595192916667,960.436656666667,68.4583333333333,0.0878332050416667,4.04741533333333,10.5929166666667,11.4825,12.4908333333333,8.64916666666667,0.33675,0.306333333333333,0.337,0.222,6.7
2018-05-02,9.95124999583333,68.2674249166667,958.6444575,15.5833333333333,0.174098307154167,5.88835226666667,11.0450001333333,10.77,11.9908333333333,8.73666666666667,0.328291666666667,0.308791666666667,0.334041666666667,0.222,0.2
2018-05-03,12.0075000791667,64.625843625,957.562856666667,77.7083333333333,0.120909135708333,6.8190035625,11.7970833333333,11.63875,11.72,8.80125,0.311833333333333,0.307583333333333,0.331708333333333,0.222,0
2018-05-04,13.965833375,68.126329625,959.418647916667,88.2083333333333,0.116226675083333,5.25180609166667,13.6366665416667,12.6325,11.6054166666667,8.87,0.309458333333333,0.306958333333333,0.3315,0.222166666666667,2
2018-05-05,13.4679166666667,84.4724781666667,963.808932083333,70.125,0.0989758534375,4.95831539166667,13.9574999583333,13.5679166666667,11.7325,8.93666666666667,0.350375,0.314583333333333,0.331125,0.223,12
2018-05-06,14.7783333333333,82.2674747916667,965.407145416667,81.75,0.125645657020833,3.35238278625,14.386666625,13.45125,11.8366666666667,8.99916666666667,0.384458333333333,0.36125,0.3305,0.223,3.1
2018-05-07,15.97625,86.683220375,963.348612916667,75.625,0.141986861958333,4.34030496875,16.1095833333333,14.71375,12.02625,9.06791666666667,0.407125,0.38525,0.32925,0.223,10.6
2018-05-08,15.9783333333333,82.9635355,959.7404375,73.0416666666667,0.137129797,5.13320365,15.9720832916667,14.9345833333333,12.2970833333333,9.14083333333333,0.399083333333333,0.392208333333333,0.330625,0.223,1.9
2018-05-09,14.7679166666667,86.8721042916667,958.00807375,67.5416666666667,0.1229527035,3.71405926958333,15.2616666666667,14.67,12.495,9.21375,0.411,0.410333333333333,0.336541666666667,0.223,10.5
2018-05-10,14.403333375,91.1654306666667,962.59027625,96.5833333333333,0.0790970803333333,5.8235391125,14.7991667916667,14.3970833333333,12.6366666666667,9.29291666666667,0.424125,0.420208333333333,0.345625,0.223833333333333,14.7
2018-05-11,15.87625,79.5190253333333,965.185282916667,38.3333333333333,0.184480518541667,10.1733102458333,16.217916625,14.7991666666667,12.7075,9.37208333333333,0.401791666666667,0.413916666666667,0.366166666666667,0.224,0.9
2018-05-12,14.8533334166667,86.6685158333333,962.04343875,89.9583333333333,0.127314811783333,8.7931437625,15.834583375,15.1783333333333,12.8970833333333,9.44916666666667,0.397958333333333,0.403666666666667,0.368208333333333,0.224708333333333,18.9
2018-05-13,10.6095833583333,68.413236875,962.544100833333,47.6666666666667,0.153144875833333,8.50547442916667,13.824166625,14.3679166666667,13.02,9.53458333333333,0.4145,0.423791666666667,0.394458333333333,0.225541666666667,12.8
2018-05-14,10.2741666791667,71.6451800416667,962.989912083333,62.125,0.139045433441667,5.551546825,12.4575000416667,12.87625,12.91375,9.60958333333333,0.389666666666667,0.407,0.396958333333333,0.227125,0.8
2018-05-15,12.91375,75.5439576666667,963.6522225,51.5,0.146395725333333,5.51920215416667,13.6679167083333,13.0533333333333,12.72,9.68875,0.380083333333333,0.396125,0.3945,0.228541666666667,0.1
2018-05-16,14.5095833458333,77.7800254583333,964.465312916667,32.8333333333333,0.148427710395833,4.72133119583333,14.93875,14.0720833333333,12.7054166666667,9.75333333333333,0.368583333333333,0.385625,0.391833333333333,0.229791666666667,0.8
2018-05-17,15.4700000416667,72.7289070416667,964.367605833333,39.25,0.155871557166667,4.31385402083333,15.4720832916667,14.7054166666667,12.8116666666667,9.8325,0.365333333333333,0.377541666666667,0.38925,0.231041666666667,1.7
2018-05-18,15.3158332916667,76.6759037916667,965.041259166667,61.0416666666667,0.143138706208333,5.381702075,15.655416625,14.9366666666667,12.95125,9.89708333333333,0.358583333333333,0.372083333333333,0.387083333333333,0.232166666666667,0.9
2018-05-19,15.72416675,76.3681629166667,964.98718625,49.2916666666667,0.1546094915,3.546823975,15.8699999583333,15.0345833333333,13.0929166666667,9.97,0.363333333333333,0.366041666666667,0.382583333333333,0.233041666666667,1.4
2018-05-20,15.3574999583333,77.731316125,963.285272083333,44.5,0.149216373770833,4.8526881625,15.617916625,15.0366666666667,13.1991666666667,10.0429166666667,0.379083333333333,0.36525,0.379541666666667,0.234,2.6
2018-05-21,15.4491666666667,75.5213559583333,960.602036666667,75.5416666666667,0.1499751698875,4.91161832083333,15.8637499583333,15.0991666666667,13.3283333333333,10.1158333333333,0.372916666666667,0.372416666666667,0.377041666666667,0.234833333333333,0.2
2018-05-22,15.3304166666667,79.8020870416667,962.4396275,54.3333333333333,0.135086195666667,4.55664480833333,15.79083325,15.12625,13.4241666666667,10.1908333333333,0.372833333333333,0.369791666666667,0.374833333333333,0.235375,3
2018-05-23,17.0825,80.100830375,965.937113333333,59.7916666666667,0.155660875375,4.14962094875,16.9283333333333,15.726249875,13.5408333333333,10.2658333333333,0.372666666666667,0.370166666666667,0.374125,0.236,2.5
2018-05-24,18.0908333333333,76.2460604583333,965.683701666667,52.3333333333333,0.197435748958333,5.93685520833333,17.874166625,16.4866666666667,13.745,10.3470833333333,0.352333333333333,0.36475,0.372,0.236875,0
2018-05-25,17.9345833333333,65.7311481666667,964.243446666667,48.6666666666667,0.1907949770625,7.36213942916667,17.82416675,16.80958325,14.0158333333333,10.4325,0.335041666666667,0.356125,0.369708333333333,0.237083333333333,0.5
2018-05-26,17.92,75.20945625,964.232058333333,41.0416666666667,0.1861694892925,11.5697979833333,18.0387499583333,16.8741666666667,14.2408333333333,10.5158333333333,0.351833333333333,0.350041666666667,0.367541666666667,0.238,3.8
2018-05-27,18.2554167083333,71.2923827916667,962.158074166667,64.6666666666667,0.168801207705,13.8571975083333,18.1408335,17.145,14.4533333333333,10.6075,0.323708333333333,0.343166666666667,0.364666666666667,0.238,0.1
2018-05-28,16.3991667083333,84.4666962916667,962.387624166667,89.625,0.102256271133333,7.74679707916667,17.2199997916667,16.9262496666667,14.66375,10.70125,0.36625,0.341333333333333,0.362416666666667,0.239,8.4
2018-05-29,16.3199999166667,88.0021751666667,963.163049583333,58.6666666666667,0.137713001791667,6.19643387916667,17.524166625,16.73458325,14.745,10.795,0.379125,0.355375,0.359125,0.239,1.7
2018-05-30,15.6804167083333,86.886302625,961.95420125,64.2916666666667,0.107610050291667,3.63567950833333,17.1595832916667,16.8824999166667,14.8845833333333,10.88875,0.379583333333333,0.357958333333333,0.357125,0.239625,9.6
2018-05-31,16.0408333333333,84.4372242083333,965.549060833333,69.9583333333333,0.12932853875,5.11603769041667,16.7387500416667,16.3220833333333,14.91375,10.9845833333333,0.373375,0.364333333333333,0.356,0.24,1.2
2018-06-01,17.295,85.262661125,968.154713333333,58.1666666666667,0.158659765666667,3.887424525,18.101250125,17.0033334166667,14.9783333333333,11.0804166666667,0.383208333333333,0.364791666666667,0.351,0.24,6.3
2018-06-02,16.895,86.5019676666667,966.514765833333,91.3333333333333,0.131533148020833,4.7327878,17.980416625,17.3200000416667,15.1033333333333,11.1720833333333,0.382541666666667,0.370416666666667,0.347166666666667,0.2405,2.6
2018-06-03,16.01375,86.32837625,963.427161666667,96.8333333333333,0.0945053320416667,7.76727594583333,16.5929166666667,16.57625,15.1908333333333,11.2679166666667,0.37675,0.37025,0.348,0.241,2.5
2018-06-04,16.6595833333333,88.6269504583333,960.705161666667,69.8333333333333,0.142748189020833,4.90525972083333,17.524166625,16.6970832083333,15.1845833333333,11.3554166666667,0.394166666666667,0.377333333333333,0.3485,0.241,7.5
2018-06-05,16.7199999166667,86.6395136666667,959.181173333333,78.7916666666667,0.1267076576375,6.910602,17.5575,16.999166625,15.1908333333333,11.3491666666667,0.38775,0.378208333333333,0.346,0.232,5.3
2018-06-06,15.3387500416667,89.6128759166667,961.61471625,75.6666666666667,0.0961070639583333,5.51377182916667,16.3637500833333,16.3325,15.1866666666667,11.3429166666667,0.409458333333333,0.391916666666667,0.343916666666667,0.223,14
2018-06-07,15.7158333333333,86.4613639166667,963.590245833333,73,0.138789163525,3.48842655625,16.7575,16.2075,15.1429166666667,11.4116666666667,0.41325,0.413375,0.348208333333333,0.223083333333333,14
2018-06-08,17.5720833333333,82.2493350416667,962.882202916667,81.625,0.174400214875,6.23019222083333,17.9658332916667,16.7825,15.1533333333333,11.4866666666667,0.386833333333333,0.39475,0.348625,0.224,1.2
2018-06-09,19.0220833333333,72.6078257916667,962.445088333333,57.0833333333333,0.210452278791667,7.91776877083333,19.0054166666667,17.6908332916667,15.2866666666667,11.5533333333333,0.364458333333333,0.382708333333333,0.347625,0.224,0.7
